x,y,h,s
-0.5,-0.5,-4.000000000000009,-2.9243553457331414e-15
-0.47959183673469385,-0.5,-3.8983756768013293,-0.0816326530612258
-0.45918367346938777,-0.5,-3.797584339858391,-0.16326530612244677
-0.4387755102040816,-0.5,-3.6976259891711787,-0.24489795918367233
-0.41836734693877553,-0.5,-3.5985006247396925,-0.32653061224489843
-0.3979591836734694,-0.5,-3.500208246563934,-0.4081632653061253
-0.37755102040816324,-0.5,-3.4027488546438978,-0.48979591836735126
-0.35714285714285715,-0.5,-3.3061224489795906,-0.5714285714285758
-0.33673469387755106,-0.5,-3.210329029571011,-0.6530612244898011
-0.3163265306122449,-0.5,-3.1153685964181554,-0.7346938775510248
-0.29591836734693877,-0.5,-3.0212411495210287,-0.8163265306122487
-0.2755102040816326,-0.5,-2.927946688879629,-0.8979591836734732
-0.25510204081632654,-0.5,-2.8354852144939557,-0.979591836734696
-0.2346938775510204,-0.5,-2.74385672636401,-1.0612244897959189
-0.2142857142857143,-0.5,-2.653061224489791,-1.1428571428571423
-0.19387755102040816,-0.5,-2.5630987088713013,-1.2244897959183672
-0.17346938775510207,-0.5,-2.473969179508536,-1.3061224489795917
-0.15306122448979592,-0.5,-2.3856726364014977,-1.3877551020408172
-0.13265306122448978,-0.5,-2.2982090795501864,-1.4693877551020418
-0.11224489795918369,-0.5,-2.2115785089546,-1.551020408163267
-0.09183673469387754,-0.5,-2.125780924614741,-1.632653061224492
-0.07142857142857145,-0.5,-2.0408163265306087,-1.714285714285716
-0.05102040816326531,-0.5,-1.9566847147022022,-1.7959183673469397
-0.030612244897959162,-0.5,-1.8733860891295235,-1.8775510204081631
-0.010204081632653073,-0.5,-1.7909204498125733,-1.959183673469386
0.010204081632653073,-0.5,-1.7092877967513496,-2.0408163265306105
0.030612244897959218,-0.5,-1.6284881299458525,-2.1224489795918333
0.05102040816326525,-0.5,-1.548521449396083,-2.2040816326530583
0.0714285714285714,-0.5,-1.46938775510204,-2.285714285714284
0.09183673469387754,-0.5,-1.3910870470637227,-2.3673469387755093
0.11224489795918369,-0.5,-1.3136193252811315,-2.448979591836733
0.13265306122448983,-0.5,-1.2369845897542686,-2.530612244897959
0.15306122448979587,-0.5,-1.1611828404831308,-2.612244897959182
0.173469387755102,-0.5,-1.0862140774677211,-2.693877551020407
0.19387755102040816,-0.5,-1.0120783007080387,-2.7755102040816317
0.2142857142857143,-0.5,-0.9387755102040809,-2.8571428571428568
0.23469387755102045,-0.5,-0.8663057059558509,-2.9387755102040827
0.2551020408163265,-0.5,-0.7946688879633464,-3.0204081632653073
0.2755102040816326,-0.5,-0.7238650562265696,-3.102040816326532
0.29591836734693877,-0.5,-0.6538942107455186,-3.183673469387755
0.3163265306122449,-0.5,-0.5847563515201957,-3.2653061224489783
0.33673469387755106,-0.5,-0.5164514785505998,-3.3469387755102007
0.3571428571428571,-0.5,-0.4489795918367321,-3.4285714285714266
0.37755102040816324,-0.5,-0.3823406913785914,-3.51020408163265
0.3979591836734694,-0.5,-0.31653477717617684,-3.5918367346938775
0.41836734693877553,-0.5,-0.25156184922948716,-3.6734693877551052
0.4387755102040817,-0.5,-0.18742190753852223,-3.7551020408163294
0.4591836734693877,-0.5,-0.1241149521032831,-3.8367346938775553
0.47959183673469385,-0.5,-0.061640982923769516,-3.918367346938772
0.5,-0.5,1.2323475573339238e-14,-3.9999999999999867
-0.5,-0.47959183673469385,-3.9187838400666393,0.061224489795926075
-0.47959183673469385,-0.47959183673469385,-3.8171595168679713,-0.019575177009577355
-0.45918367346938777,-0.47959183673469385,-3.7163681799250305,-0.10037484381507637
-0.4387755102040816,-0.47959183673469385,-3.616409829237816,-0.18117451062057485
-0.41836734693877553,-0.47959183673469385,-3.5172844648063304,-0.26197417742607354
-0.3979591836734694,-0.47959183673469385,-3.418992086630571,-0.34277384423157237
-0.37755102040816324,-0.47959183673469385,-3.3215326947105366,-0.42357351103707236
-0.35714285714285715,-0.47959183673469385,-3.2249062890462294,-0.5043731778425696
-0.33673469387755106,-0.47959183673469385,-3.12911286963765,-0.5851728446480671
-0.3163265306122449,-0.47959183673469385,-3.0341524364847947,-0.665972511453564
-0.29591836734693877,-0.47959183673469385,-2.940024989587668,-0.7467721782590616
-0.2755102040816326,-0.47959183673469385,-2.846730528946268,-0.8275718450645599
-0.25510204081632654,-0.47959183673469385,-2.7542690545605963,-0.908371511870055
